id,prefixo,kx_n_urns,grupo_id,escopo
450,br;rio.grande.sul;bage:municipal:decreto,3,,leg
451,br;rio.grande.sul;bage:municipal:decreto.legislativo,3,,leg
452,br;rio.grande.sul;bage:municipal:lei,620,,leg
453,br;rio.grande.sul;bage:municipal:lei.complementar,16,,leg
454,br;rio.grande.sul;bage:municipal:lei.organica,1,,leg
455,br;rio.grande.sul;balneario.pinhal:municipal:decreto,6,,leg
456,br;rio.grande.sul;balneario.pinhal:municipal:decreto.legislativo,2,,leg
457,br;rio.grande.sul;balneario.pinhal:municipal:lei,104,,leg
458,br;rio.grande.sul;balneario.pinhal:municipal:lei.complementar,2,,leg
459,br;rio.grande.sul;barao.cotegipe:municipal:decreto,3,,leg
460,br;rio.grande.sul;barao.cotegipe:municipal:decreto.legislativo,2,,leg
461,br;rio.grande.sul;barao.cotegipe:municipal:lei,260,,leg
462,br;rio.grande.sul;barao.cotegipe:municipal:lei.complementar,3,,leg
463,br;rio.grande.sul;barao.cotegipe:municipal:lei.organica,1,,leg
464,br;rio.grande.sul;barao:municipal:decreto,587,,leg
465,br;rio.grande.sul;barao:municipal:decreto.legislativo,61,,leg
466,br;rio.grande.sul;barao:municipal:emenda.lei.organica,2,,leg
467,br;rio.grande.sul;barao:municipal:lei,1254,,leg
468,br;rio.grande.sul;barao:municipal:lei.complementar,42,,leg
469,br;rio.grande.sul;barao:municipal:lei.organica,1,,leg
470,br;rio.grande.sul;barao.triunfo:municipal:decreto,1,,leg
471,br;rio.grande.sul;barao.triunfo:municipal:decreto.legislativo,5,,leg
472,br;rio.grande.sul;barao.triunfo:municipal:emenda.lei.organica,1,,leg
473,br;rio.grande.sul;barao.triunfo:municipal:lei,174,,leg
474,br;rio.grande.sul;barao.triunfo:municipal:lei.complementar,1,,leg
475,br;rio.grande.sul;barao.triunfo:municipal:lei.organica,1,,leg
476,br;rio.grande.sul;barracao:municipal:decreto,609,,leg
477,br;rio.grande.sul;barracao:municipal:decreto.legislativo,7,,leg
478,br;rio.grande.sul;barracao:municipal:lei,483,,leg
479,br;rio.grande.sul;barracao:municipal:lei.complementar,7,,leg
480,br;rio.grande.sul;barracao:municipal:lei.organica,1,,leg
481,br;rio.grande.sul;barra.funda:municipal:decreto,21,,leg
482,br;rio.grande.sul;barra.funda:municipal:decreto.legislativo,12,,leg
483,br;rio.grande.sul;barra.funda:municipal:emenda.lei.organica,3,,leg
484,br;rio.grande.sul;barra.funda:municipal:lei,147,,leg
485,br;rio.grande.sul;barra.guarita:municipal:decreto,92,,leg
486,br;rio.grande.sul;barra.guarita:municipal:decreto.legislativo,9,,leg
487,br;rio.grande.sul;barra.guarita:municipal:lei,366,,leg
488,br;rio.grande.sul;barra.guarita:municipal:lei.complementar,3,,leg
489,br;rio.grande.sul;barra.quarai:municipal:decreto,55,,leg
490,br;rio.grande.sul;barra.quarai:municipal:decreto.legislativo,5,,leg
491,br;rio.grande.sul;barra.quarai:municipal:lei,288,,leg
492,br;rio.grande.sul;barra.quarai:municipal:lei.complementar,13,,leg
493,br;rio.grande.sul;barra.ribeiro:municipal:decreto,18,,leg
494,br;rio.grande.sul;barra.ribeiro:municipal:decreto.legislativo,6,,leg
495,br;rio.grande.sul;barra.ribeiro:municipal:emenda.lei.organica,2,,leg
496,br;rio.grande.sul;barra.ribeiro:municipal:lei,359,,leg
497,br;rio.grande.sul;barra.ribeiro:municipal:lei.organica,1,,leg
498,br;rio.grande.sul;barra.rio.azul:municipal:decreto,3,,leg
499,br;rio.grande.sul;barra.rio.azul:municipal:decreto.legislativo,5,,leg
500,br;rio.grande.sul;barra.rio.azul:municipal:lei,92,,leg
501,br;rio.grande.sul;barra.rio.azul:municipal:lei.organica,1,,leg
502,br;rio.grande.sul;barros.cassal:municipal:decreto,1,,leg
503,br;rio.grande.sul;barros.cassal:municipal:decreto.legislativo,10,,leg
504,br;rio.grande.sul;barros.cassal:municipal:emenda.lei.organica,2,,leg
505,br;rio.grande.sul;barros.cassal:municipal:lei,182,,leg
506,br;rio.grande.sul;barros.cassal:municipal:lei.complementar,6,,leg
507,br;rio.grande.sul;benjamin.constant.sul:municipal:decreto,2,,leg
508,br;rio.grande.sul;benjamin.constant.sul:municipal:decreto.legislativo,7,,leg
509,br;rio.grande.sul;benjamin.constant.sul:municipal:lei,327,,leg
510,br;rio.grande.sul;benjamin.constant.sul:municipal:lei.organica,1,,leg
511,br;rio.grande.sul;bento.goncalves:camara.municipal:resolucao,43,,leg
512,br;rio.grande.sul;bento.goncalves:municipal:decreto,4344,,leg
513,br;rio.grande.sul;bento.goncalves:municipal:decreto.legislativo,57,,leg
514,br;rio.grande.sul;bento.goncalves:municipal:emenda.lei.organica,23,,leg
515,br;rio.grande.sul;bento.goncalves:municipal:lei,6247,,leg
516,br;rio.grande.sul;bento.goncalves:municipal:lei.complementar,194,,leg
517,br;rio.grande.sul;bento.goncalves:municipal:lei.organica,2,,leg
518,br;rio.grande.sul;boa.vista.burica:municipal:decreto,4,,leg
519,br;rio.grande.sul;boa.vista.burica:municipal:decreto.legislativo,3,,leg
520,br;rio.grande.sul;boa.vista.burica:municipal:emenda.lei.organica,3,,leg
521,br;rio.grande.sul;boa.vista.burica:municipal:lei,301,,leg
522,br;rio.grande.sul;boa.vista.cadeado:municipal:decreto,54,,leg
523,br;rio.grande.sul;boa.vista.cadeado:municipal:decreto.legislativo,7,,leg
524,br;rio.grande.sul;boa.vista.cadeado:municipal:emenda.lei.organica,1,,leg
525,br;rio.grande.sul;boa.vista.cadeado:municipal:lei,368,,leg
526,br;rio.grande.sul;boa.vista.cadeado:municipal:lei.complementar,31,,leg
527,br;rio.grande.sul;boa.vista.cadeado:municipal:lei.organica,1,,leg
528,br;rio.grande.sul;boa.vista.incra:municipal:decreto,6,,leg
